Unit of measure,TIME_PERIOD,OBS_VALUE
Defined daily doses per 1 000 inhabitants per day,2016,106.5
Defined daily doses per 1 000 inhabitants per day,1997,29.8
Defined daily doses per 1 000 inhabitants per day,1996,25.5
Defined daily doses per 1 000 inhabitants per day,1995,21
Defined daily doses per 1 000 inhabitants per day,1994,16.4
Defined daily doses per 1 000 inhabitants per day,1993,14.3
Defined daily doses per 1 000 inhabitants per day,1992,12.7
Defined daily doses per 1 000 inhabitants per day,1991,11.4
Defined daily doses per 1 000 inhabitants per day,1990,12.4
Defined daily doses per 1 000 inhabitants per day,2015,104.1
Defined daily doses per 1 000 inhabitants per day,2014,100.7
Defined daily doses per 1 000 inhabitants per day,2013,96.2
Defined daily doses per 1 000 inhabitants per day,2012,91.7
Defined daily doses per 1 000 inhabitants per day,2011,88.9
Defined daily doses per 1 000 inhabitants per day,2010,80.4
Defined daily doses per 1 000 inhabitants per day,2009,79.9
Defined daily doses per 1 000 inhabitants per day,2008,79.7
Defined daily doses per 1 000 inhabitants per day,2007,76.9
Defined daily doses per 1 000 inhabitants per day,2006,70.1
Defined daily doses per 1 000 inhabitants per day,2005,65.7
Defined daily doses per 1 000 inhabitants per day,2004,63.4
Defined daily doses per 1 000 inhabitants per day,2003,58.5
Defined daily doses per 1 000 inhabitants per day,2002,54.7
Defined daily doses per 1 000 inhabitants per day,2001,53.2
Defined daily doses per 1 000 inhabitants per day,2000,45.4
Defined daily doses per 1 000 inhabitants per day,1999,40
Defined daily doses per 1 000 inhabitants per day,1998,35
Defined daily doses per 1 000 inhabitants per day,2021,127.9
Defined daily doses per 1 000 inhabitants per day,2020,122.2
Defined daily doses per 1 000 inhabitants per day,2019,115.6
Defined daily doses per 1 000 inhabitants per day,2018,112.2
Defined daily doses per 1 000 inhabitants per day,2017,109.3
